Happiness Score,GDP per Capita,Social Support,Life Expectancy,Freedom,Generosity,Corruption
6.44625925925926,10.118666666666664,0.8974074074074073,67.00740740740741,0.8295200000000001,0.256,0.71588
5.196898876404495,9.04428409090909,0.8358089887640454,60.14750000000001,0.7304767441860467,0.006654320987654321,0.7557469879518075
5.418274509803923,9.17295098039216,0.8077699999999998,61.30526732673268,0.6873366336633663,0.014833333333333334,0.7921326530612242
5.418509090909089,9.167272727272724,0.7843909090909091,61.24995370370372,0.688355140186916,0.021486238532110083,0.7641214953271032
5.457666666666666,9.263805309734513,0.8190707964601772,62.418927927927946,0.6874017857142861,-0.005371681415929202,0.7633873873873872
5.496806451612903,9.393845528455287,0.8318666666666669,63.06902479338842,0.7082622950819671,0.0033821138211382077,0.7572352941176472
5.424082191780824,9.286848275862065,0.8027999999999994,62.21212056737587,0.7321862068965516,-0.014437500000000004,0.7552028985507253
5.44375352112676,9.390592857142858,0.80906338028169,63.216992647058824,0.7112411347517731,-0.0020601503759398497,0.7579545454545457
5.39456204379562,9.373235294117647,0.8065547445255474,63.32648120300751,0.7278970588235291,-0.00015789473684210456,0.7634923076923076
5.389020689655174,9.370971830985914,0.8056408450704234,63.29594999999998,0.7344565217391302,0.020260869565217395,0.738330882352941
5.404034965034964,9.396364285714279,0.7982042253521126,63.66507194244604,0.7486785714285714,0.01969064748201438,0.7365263157894736
5.399478873239441,9.403014388489211,0.8118943661971831,63.860036496350354,0.7631571428571429,0.0006956521739130487,0.7466870229007635
5.460408163265307,9.397034246575343,0.8051438356164385,64.09023076923074,0.7806027397260272,-0.006565517241379315,0.7285401459854012
5.499443661971831,9.406742647058824,0.8123450704225349,64.55537681159423,0.7839361702127657,-0.023088235294117642,0.7336716417910445
5.570868055555557,9.477028985507252,0.8167916666666669,65.00391366906474,0.7945524475524476,-0.01989051094890509,0.7226544117647055
5.840599999999998,9.751329545454542,0.8389157894736844,67.09956521739132,0.8177659574468086,-0.008011363636363641,0.7077528089887638
5.532838926174498,9.432208053691276,0.8147449664429529,64.99279865771811,0.7915973154362417,-0.015134228187919463,0.7274496644295301
