Country,Sunlight
Afghanistan,3175.1
Albania,2544
Algeria,3266.5
Angola,2341
Argentina,2240.325
Armenia,2474
Australia,2754.05
Austria,1884
Azerbaijan,2207.4
Bangladesh,2066
Belarus,1807
Belgium,1546
Benin,2630.466667
Bolivia,2288.9
Bosnia and Herzegovina,1769
Botswana,3426.666667
Brazil,2204.3
Bulgaria,2177
Burkina Faso,3209
Burundi,2373.4
Cameroon,2165.125
Canada,2028.044444
Central African Republic,2546.5
Chad,3353.2
Chile,2648.54
China,2182.98
Colombia,1589.683333
Congo,1698.666667
Croatia,1913
Cyprus,3314.1
Czech Republic,1668
"Congo, the Democratic Republic of the",2225
Denmark,1739
Djibouti,3279
Ecuador,1909.55
Egypt,3756.416667
El Salvador,2957
Equatorial Guinea,1548.95
Eritrea,3361
Estonia,1826
Ethiopia,2784.85
Falkland Islands (Malvinas),1651
Faroe Islands,840
Fiji,1922
Finland,1858
France,2249
French Guiana,1976
Gabon,1720.2
Gambia,3070
Georgia,2046
Germany,1644
Ghana,2367.5
Greece,2975
Guinea,2440
Guinea-Bissau,2707
Honduras,2259.8
Hong Kong,1835.6
Hungary,1988
Iceland,1326
India,2434.15
Indonesia,2983.3
"Iran, Islamic Republic of",2826.1
Iraq,3240.8
Ireland,1453
Israel,3311
Italy,2194
Ivory Coast,2321.32
Japan,1808.55
Kazakhstan,2431.5
Kenya,3030.025
Latvia,1754
Libya,3178.1
Lithuania,1588
Macau,1773.9
Madagascar,2864.433333
Malawi,2795.866667
Mali,3213.366667
Malta,3054
Mauritania,3332.5
Mexico,2596.25
"Moldova, Republic of",2126
Mongolia,2791.5
Montenegro,2481
Morocco,3155.466667
Mozambique,2838
Namibia,3737.5
Netherlands,1662
New Zealand,2044
Nicaragua,2759.9
Niger,3203.2
Nigeria,2669.08
"Korea, Democratic People's Republic of",2492
"Macedonia, the former Yugoslav Republic of",2339
Norway,1668
Oman,3493.3
Pakistan,2992.15
Panama,1743.5
Papua New Guinea,2463
Paraguay,2803
Peru,2013.333333
Philippines,2103.1
Poland,1571
Portugal,2806
Puerto Rico,2700.5
Romania,2115
Russia,1972.7875
Saint Pierre and Miquelon,1427.3
Saudi Arabia,3236.5
Senegal,3146
Serbia,2112
Singapore,2022.4
Slovakia,2038
Slovenia,1974
Solomon Islands,2330
Somalia,3103
South Africa,3141.316667
South Korea,2196.65
South Sudan,2841.3
Spain,2755.333333
Sudan,3559.55
Sweden,1871.5
Switzerland,1566
Taiwan,1886.866667
"Tanzania, United Republic of",3032.85
Thailand,2175.025
Togo,2579.95
Tunisia,3049.95
Turkey,2333.8
Uganda,2272.666667
Ukraine,1955
United Arab Emirates,3508.7
United Kingdom,1530
United States,2818.255556
Uruguay,2481.4
Uzbekistan,2823.9
Venezuela,2895.45
Vietnam,2123.5
Zambia,2965.466667
Zimbabwe,3065.4
